id,createTime,diggCount,shareCount,playCount,commentCount,hashtag_foryoupage,hashtag_fyp
6890518277752163585,1604323807,2932,439,40800,91,False,True
6897185128322174209,1605876054,1620,18,89200,94,False,True
6897185128322174209,1605876054,1620,18,89200,94,False,False
6896449137420619009,1605704693,3542,41,51800,39,False,True
6879439037619342598,1601744262,22500,168,99900,354,False,True
6879439037619342598,1601744262,22500,168,99900,354,False,False
6879439037619342598,1601744262,22500,168,99900,354,True,False
6888826582786395394,1603929930,4053,56,67000,88,False,True
6888826582786395394,1603929930,4053,56,67000,88,False,False
6886763008966577410,1603449466,1794,8,74500,15,False,True
6886763008966577410,1603449466,1794,8,74500,15,True,False
6886763008966577410,1603449466,1794,8,74500,15,False,False
6879222014880664833,1601693692,1100,14,30100,63,False,True
6879222014880664833,1601693692,1100,14,30100,63,False,False
6879222014880664833,1601693692,1100,14,30100,63,True,False
6885565252151315718,1603170674,7207,2,71400,59,False,True
6885540773987667205,1603164950,13600,100,127500,148,True,False
6885540773987667205,1603164950,13600,100,127500,148,False,True
6885540773987667205,1603164950,13600,100,127500,148,False,False
6875405441472498949,1600805109,9630,58,118700,65,True,False
6875405441472498949,1600805109,9630,58,118700,65,False,True
6875405441472498949,1600805109,9630,58,118700,65,False,False
6892107260181499137,1604693772,12900,128,85500,75,False,True
6892107260181499137,1604693772,12900,128,85500,75,False,False
6892107260181499137,1604693772,12900,128,85500,75,True,False
6906137577003175169,1607960459,2098,28,36700,70,True,False
6906137577003175169,1607960459,2098,28,36700,70,False,False
6883180152164011265,1602615267,25100,748,433100,657,False,True
6879000638458449153,1601642148,218,1,3313,18,False,True
6879000638458449153,1601642148,218,1,3313,18,True,False
6879000638458449153,1601642148,218,1,3313,18,False,False
